# PBC Ising L=16, dps=50, h_fd=1e-05
#       beta              logZ/N            energy/N                  cv
    0.1402      0.715838458061     -0.289832312519      0.043352955425
    0.1403      0.715867452320     -0.290052885822      0.043420874064
    0.1404      0.715896468639     -0.290273489885      0.043488859264
    0.1405      0.715925507019     -0.290494124734      0.043556911066
    0.1406      0.715954567465     -0.290714790395      0.043625029515
    0.1407      0.715983649978     -0.290935486895      0.043693214652
    0.1408      0.716012754563     -0.291156214259      0.043761466521
    0.1409      0.716041881222     -0.291376972514      0.043829785164
    0.1410      0.716071029959     -0.291597761688      0.043898170626
    0.1411      0.716100200776     -0.291818581805      0.043966622948
    0.1412      0.716129393676     -0.292039432892      0.044035142174
    0.1413      0.716158608663     -0.292260314977      0.044103728348
    0.1414      0.716187845740     -0.292481228084      0.044172381512
    0.1415      0.716217104910     -0.292702172242      0.044241101710
    0.1416      0.716246386176     -0.292923147475      0.044309888985
    0.1417      0.716275689540     -0.293144153811      0.044378743381
    0.1418      0.716305015007     -0.293365191276      0.044447664940
    0.1419      0.716334362580     -0.293586259896      0.044516653707
    0.1420      0.716363732260     -0.293807359699      0.044585709725
    0.1421      0.716393124053     -0.294028490710      0.044654833037
    0.1422      0.716422537960     -0.294249652956      0.044724023688
    0.1423      0.716451973984     -0.294470846464      0.044793281721
    0.1424      0.716481432130     -0.294692071259      0.044862607179
    0.1425      0.716510912400     -0.294913327370      0.044932000106
    0.1426      0.716540414796     -0.295134614821      0.045001460547
    0.1427      0.716569939324     -0.295355933640      0.045070988544
    0.1428      0.716599485984     -0.295577283854      0.045140584143
    0.1429      0.716629054781     -0.295798665488      0.045210247387
    0.1430      0.716658645718     -0.296020078571      0.045279978319
    0.1431      0.716688258798     -0.296241523127      0.045349776985
    0.1432      0.716717894024     -0.296462999184      0.045419643427
    0.1433      0.716747551399     -0.296684506768      0.045489577691
