# Device: cuda:3 | TF32 disabled: True
# L=32,  N=1024 spins,  beta_c = ln(1+sqrt(2))/2 ~ 0.44069
# Derivatives: central finite difference, h=0.0001
# Precomputation: 0.76s | Matrix: 3968x3968 | ~0.23 GB/tensor
#     beta            logZ/N      FreeEnergy/N          Energy/N                Cv     dt(s)
  0.1256      0.7086254047     -5.6419220122     -0.2496278970      0.0329617727     0.303
  0.1257      0.7086503780     -5.6376322830     -0.2498368542      0.0330182350     0.281
  0.1258      0.7086753721     -5.6333495398     -0.2500458364      0.0330747556     0.278
  0.1259      0.7087003871     -5.6290737660     -0.2502548437      0.0331313358     0.269
  0.1260      0.7087254231     -5.6248049450     -0.2504638761      0.0331879708     0.281
  0.1261      0.7087504799     -5.6205430604     -0.2506729335      0.0332446681     0.256
  0.1262      0.7087755577     -5.6162880956     -0.2508820162      0.0333014200     0.259
  0.1263      0.7088006563     -5.6120400342     -0.2510911239      0.0333582317     0.218
  0.1264      0.7088257759     -5.6077988598     -0.2513002569      0.0334151028     0.222
  0.1265      0.7088509164     -5.6035645563     -0.2515094151      0.0334720282     0.192
  0.1266      0.7088760778     -5.5993371072     -0.2517185985      0.0335290161     0.218
  0.1267      0.7089012601     -5.5951164963     -0.2519278071      0.0335860598     0.197
  0.1268      0.7089264633     -5.5909027076     -0.2521370410      0.0336431623     0.222
  0.1269      0.7089516875     -5.5866957249     -0.2523463002      0.0337003231     0.226
  0.1270      0.7089769326     -5.5824955322     -0.2525555847      0.0337575439     0.259
  0.1271      0.7090021986     -5.5783021134     -0.2527648946      0.0338148203     0.314
  0.1272      0.7090274856     -5.5741154526     -0.2529742298      0.0338721562     0.318
  0.1273      0.7090527935     -5.5699355338     -0.2531835904      0.0339295533     0.317
  0.1274      0.7090781223     -5.5657623413     -0.2533929764      0.0339870040     0.262
  0.1275      0.7091034721     -5.5615958592     -0.2536023879      0.0340445160     0.306
  0.1276      0.7091288428     -5.5574360718     -0.2538118248      0.0341020871     0.272
  0.1277      0.7091542344     -5.5532829633     -0.2540212872      0.0341597163     0.296
  0.1278      0.7091796470     -5.5491365182     -0.2542307750      0.0342174031     0.272
  0.1279      0.7092050806     -5.5449967207     -0.2544402884      0.0342751503     0.242
  0.1280      0.7092305351     -5.5408635553     -0.2546498274      0.0343329546     0.186
  0.1281      0.7092560105     -5.5367370065     -0.2548593919      0.0343908198     0.163
  0.1282      0.7092815070     -5.5326170589     -0.2550689820      0.0344487407     0.157
  0.1283      0.7093070243     -5.5285036971     -0.2552785977      0.0345067232     0.154
  0.1284      0.7093325627     -5.5243969056     -0.2554882391      0.0345647632     0.157
  0.1285      0.7093581220     -5.5202966691     -0.2556979061      0.0346228620     0.191
  0.1286      0.7093837023     -5.5162029724     -0.2559075988      0.0346810212     0.196
  0.1287      0.7094093035     -5.5121158003     -0.2561173172      0.0347392370     0.193
  0.1288      0.7094349257     -5.5080351376     -0.2563270614      0.0347975145     0.246
  0.1289      0.7094605689     -5.5039609691     -0.2565368313      0.0348558493     0.219
